index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,l_fcs,theta_floor,fcs_fuselage_location,has_strut,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles,span,x_centroid_fuse,Vol_fuse,length
"(1, 9, 8, 10, 4, 2, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,8,0.2361111111111111,0.0,0.0,1.0,false,4.74635943322393,752282.0989820906,23.441758658123955,1.0153489526636785,7,0.24361774761561705,8.134236531734636,25.14600000000001,8.288824776106875,35.17402271627068,31.24200000000001,0.0,48.12440464314346
"(1, 9, 8, 10, 4, 3, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,8,0.2722222222222222,0.0,0.0,1.0,false,4.75675679624812,753323.571004255,23.489803156297583,1.0175057524819546,7,0.33457854026264966,8.139437770217636,25.14600000000001,8.302042031762952,35.198308654712704,31.24200000000001,0.0,48.141721269389066
"(1, 9, 8, 10, 4, 4, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,8,0.3,0.0,0.0,1.0,false,4.766132292724328,754264.3012445628,23.533227808511313,1.0194505819511568,7,0.41823582116909713,8.144132743665946,25.14600000000001,8.313888231435293,35.22023070972427,31.24200000000001,0.0,48.157336493282465
"(1, 9, 8, 10, 4, 5, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,8,0.30833333333333335,0.0,0.0,1.0,false,4.769198611403945,754572.3023387123,23.547450989627208,1.0200866508521318,7,0.44592957543962675,8.145669259831148,25.14600000000001,8.317748113929232,35.22740510426996,31.24200000000001,0.0,48.16244365026234
"(1, 9, 8, 10, 4, 6, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,8,0.34444444444444444,0.0,0.0,1.0,false,4.783968271521392,756058.1634253609,23.61610585054431,1.023150696536334,7,0.5815898026953451,8.153077248220741,25.14600000000001,8.336242570850473,35.26199493332642,31.24200000000001,0.0,48.18704630974127
"(1, 9, 8, 10, 4, 7, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,8,0.38055555555555554,0.0,0.0,1.0,false,4.80143031792422,757819.8322054488,23.697588814288906,1.026774442702455,7,0.7467358218978479,8.161850718787633,25.14600000000001,8.357906546134966,35.30296055465043,31.24200000000001,0.0,48.21614449097434
"(1, 9, 8, 10, 4, 8, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,8,0.4166666666666667,0.0,0.0,1.0,false,4.822052459861505,759906.8491589131,23.79423849466223,1.031053976102624,7,0.9482690035200859,8.172231073059175,25.14600000000001,8.383223285035335,35.35142913490666,31.24200000000001,0.0,48.250510518291534
"(1, 9, 8, 10, 4, 9, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,8,0.4527777777777778,0.0,0.0,1.0,false,4.846446703064404,762384.5898288571,23.90914934330737,1.0361162790855964,7,1.1955129255175871,8.184536036267236,25.14600000000001,8.412816739892687,35.40888421603379,31.24200000000001,0.0,48.29116554694419
"(1, 9, 8, 10, 4, 10, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,8,0.4888888888888889,0.0,0.0,1.0,false,4.8754225123369705,765340.0546848187,24.046451428173565,1.0421293140208154,7,1.5012753889600492,8.199186885674395,25.14600000000001,8.447500007979706,35.47729285139796,31.24200000000001,0.0,48.339459144181
"(1, 9, 8, 10, 4, 11, 1, 7, 2, 1)",nacelle,2.54,10.1,1.0,8,0.525,0.0,0.0,1.0,false,4.910069086234497,768891.1385652645,24.211763463154444,1.0493190602622693,7,1.8835134584083002,8.21675240029901,25.14600000000001,8.48834991906756,35.55931081851678,31.24200000000001,0.0,48.39720875209205
