index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,Vspec,fcs_fuselage_location,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle
"(2, 1, 4, 1, 1, 1, 1, 1)",wing,2.54,7.894736842105263,0.75,2,0.3,500000.0,0.0,5.075995551431548,769605.1379751975,20.42323273922654,1.071502156603845,7,0.9169244229298179
"(2, 1, 4, 2, 1, 1, 1, 1)",wing,2.54,7.894736842105263,0.7763157894736842,2,0.3,500000.0,0.0,5.044829241943263,760999.7039845174,20.982287935071778,1.0647286660106754,7,0.9086411730257101
"(2, 1, 4, 3, 1, 1, 1, 1)",wing,2.54,7.894736842105263,0.8026315789473685,2,0.3,500000.0,0.0,5.017857169836299,753407.4205730506,21.548827740692108,1.0589690553687774,7,0.9014918356615522
"(2, 1, 4, 4, 1, 1, 1, 1)",wing,2.54,7.894736842105263,0.8289473684210527,2,0.3,500000.0,0.0,4.995021576050278,746712.5866674815,22.12378627310562,1.0542387004818874,7,0.8954515578280517
"(2, 1, 4, 5, 1, 1, 1, 1)",wing,2.54,7.894736842105263,0.8552631578947368,2,0.3,500000.0,0.0,4.977032543440566,740876.3345200983,22.71063837764579,1.0507362556696183,7,0.8906983420678564
"(2, 1, 4, 6, 1, 1, 1, 1)",wing,2.54,7.894736842105263,0.881578947368421,2,0.3,500000.0,0.0,4.964781858390925,735886.671848146,23.31367814576268,1.048697566604806,7,0.8874580761014378
"(2, 1, 4, 7, 1, 1, 1, 1)",wing,2.54,7.894736842105263,0.9078947368421053,2,0.3,500000.0,0.0,4.9597142973251165,731772.1524812037,23.938923406945776,1.048442929704748,7,0.8861024829504011
"(2, 1, 4, 8, 1, 1, 1, 1)",wing,2.54,7.894736842105263,0.9342105263157895,2,0.3,500000.0,0.0,4.963784950977243,728595.2083872717,24.594128776868104,1.050365383403734,7,0.8871395037974894
"(2, 1, 4, 9, 1, 1, 1, 1)",wing,2.54,7.894736842105263,0.9605263157894737,2,0.3,500000.0,0.0,4.978975870579894,726426.8243307822,25.287791918131973,1.0548684829787034,7,0.8910906387466627
"(2, 1, 4, 10, 1, 1, 1, 1)",wing,2.54,7.894736842105263,0.9868421052631579,2,0.3,500000.0,0.0,5.006563803907181,725304.5228790226,26.027035584131795,1.0622365488384895,7,0.8983038711190824
