index,fcs_loc,radius,AR,tdivc_scale,N_eng,HTR_f,Vspec,fcs_fuselage_location,CDS,WMTO,Vol_wing,PFEI,seats_abreast,Vol_nacelle,y_centroid_wing,L_fuse,y_centroid_nacelles
"(1, 2, 1, 1, 1, 1, 18, 1)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,915789.4736842106,0.0,5.290135285269408,729277.7599970135,22.98797833910202,1.1104407522329391,6,0.3993895594835365,6.314077857534406,28.956000000000014,3.801219897425617
"(1, 2, 1, 1, 1, 1, 18, 2)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,915789.4736842106,1.0,5.3798580852005955,739918.8634357163,23.489421418280102,1.1293978738783437,6,0.4093780604273083,6.355936129125865,30.5340651881956,3.8290711209358874
"(1, 2, 1, 1, 1, 1, 19, 1)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,957894.7368421053,0.0,5.290135285269408,729277.7599970135,22.98797833910202,1.1104407522329391,6,0.3993895594835365,6.314077857534406,28.956000000000014,3.801219897425617
"(1, 2, 1, 1, 1, 1, 19, 2)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,957894.7368421053,1.0,5.375892322282089,739446.5083152154,23.4670910178358,1.1285598139183535,6,0.40893481152062083,6.354084727483246,30.464699685417774,3.827839254473288
"(1, 2, 1, 1, 1, 1, 20, 1)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,1.0e6,0.0,5.290135285269408,729277.7599970135,22.98797833910202,1.1104407522329391,6,0.3993895594835365,6.314077857534406,28.956000000000014,3.801219897425617
"(1, 2, 1, 1, 1, 1, 20, 2)",fuselage,2.0988421052631576,6.0,0.75,2,0.2,1.0e6,1.0,5.372262389150506,739014.3218651251,23.44666537894644,1.1277927516929618,6,0.40852925146913616,6.35239022773654,30.401175488137028,3.826711785770226
"(1, 3, 1, 1, 1, 1, 1, 1)",fuselage,2.1656842105263157,6.0,0.75,2,0.2,200000.0,0.0,5.617340773267326,764703.0834367052,24.67533177851817,1.178727416057584,6,0.43619942490773916,6.452818798139412,33.52800000000001,3.893533908489648
"(1, 3, 1, 1, 1, 1, 1, 2)",fuselage,2.1656842105263157,6.0,0.75,2,0.2,200000.0,1.0,5.7492315303554715,780619.3012089119,25.4439184617489,1.2065920377773258,6,0.4513470457024697,6.513845738855873,35.74271898473733,3.9341393826628575
"(1, 3, 1, 1, 1, 1, 2, 1)",fuselage,2.1656842105263157,6.0,0.75,2,0.2,242105.26315789475,0.0,5.617340773267326,764703.0834367052,24.67533177851817,1.178727416057584,6,0.43619942490773916,6.452818798139412,33.52800000000001,3.893533908489648
"(1, 3, 1, 1, 1, 1, 2, 2)",fuselage,2.1656842105263157,6.0,0.75,2,0.2,242105.26315789475,1.0,5.67874829123694,772085.1708836111,25.030887832739097,1.1916990760365869,6,0.44323043330356526,6.481204745788265,34.56242003086997,3.912421056536161
"(1, 3, 1, 1, 1, 1, 3, 1)",fuselage,2.1656842105263157,6.0,0.75,2,0.2,284210.5263157895,0.0,5.351827166031186,733247.3448352104,23.17822072476398,1.1226644950986853,6,0.4062371592032596,6.3302325550870115,28.956000000000014,3.8119687428789066
"(1, 3, 1, 1, 1, 1, 3, 2)",fuselage,2.1656842105263157,6.0,0.75,2,0.2,284210.5263157895,1.0,5.629413023937849,766150.5402918605,24.744922271829942,1.181277280258308,6,0.4375786818752598,6.458395805451381,33.73183928555591,3.897244679891775
"(1, 3, 1, 1, 1, 1, 4, 1)",fuselage,2.1656842105263157,6.0,0.75,2,0.2,326315.7894736842,0.0,5.351827166031186,733247.3448352104,23.17822072476398,1.1226644950986853,6,0.4062371592032596,6.3302325550870115,28.956000000000014,3.8119687428789066
"(1, 3, 1, 1, 1, 1, 4, 2)",fuselage,2.1656842105263157,6.0,0.75,2,0.2,326315.7894736842,1.0,5.592960899986901,761785.5306344135,24.535249303183463,1.1735783468413308,6,0.43341848290281787,6.441560868668792,33.1156019583874,3.886043223900247
"(1, 3, 1, 1, 1, 1, 5, 1)",fuselage,2.1656842105263157,6.0,0.75,2,0.2,368421.05263157893,0.0,5.351827166031186,733247.3448352104,23.17822072476398,1.1226644950986853,6,0.4062371592032596,6.3302325550870115,28.956000000000014,3.8119687428789066
